"","id","uid","date","attendance","time_valid","neutral_site","conference_competition","recent","start_date","notes_type","notes_headline","type_id","type_abbreviation","venue_id","venue_full_name","venue_address_city","venue_address_state","venue_capacity","venue_indoor","status_clock","status_display_clock","status_period","status_type_id","status_type_name","status_type_state","status_type_completed","status_type_description","status_type_detail","status_type_short_detail","format_regulation_periods","home_id","home_uid","home_location","home_name","home_abbreviation","home_display_name","home_short_display_name","home_color","home_alternate_color","home_is_active","home_venue_id","home_logo","home_score","home_winner","away_id","away_uid","away_location","away_name","away_abbreviation","away_display_name","away_short_display_name","away_is_active","away_score","away_winner","game_id","season","season_type","away_color","away_alternate_color","away_venue_id","away_logo","status_type_alt_detail","game_json","game_json_url","game_date_time","game_date","PBP","team_box","player_box"
"1",401165811,"s:40~l:59~e:401165811~c:401165811","2019-10-11T00:00Z",4200,TRUE,FALSE,FALSE,FALSE,"2019-10-11T00:00Z","event","WNBA FINALS - GAME 5",17,"FINAL",5946,"Entertainment & Sports Arena","Washington","DC",4200,TRUE,0,"0.0",4,3,"STATUS_FINAL","post",TRUE,"Final","Final","Final",4,16,"s:40~l:59~t:16","Washington","Mystics","WSH","Washington Mystics","Mystics","e03a3e","09295a",TRUE,1823,"https://a.espncdn.com/i/teamlogos/wnba/500/wsh.png",89,TRUE,18,"s:40~l:59~t:18","Connecticut","Sun","CONN","Connecticut Sun","Sun",TRUE,78,FALSE,401165811,2019,3,"de6b36","002d62",2160,"https://a.espncdn.com/i/teamlogos/wnba/500/conn.png",NA,TRUE,"https://raw.githubusercontent.com/sportsdataverse/wehoop-wnba-raw/main/wnba/json/final/401165811.json",2019-10-10 20:00:00,2019-10-10,TRUE,TRUE,TRUE
"2",401165810,"s:40~l:59~e:401165810~c:401165810","2019-10-09T00:00Z",8458,TRUE,FALSE,FALSE,FALSE,"2019-10-09T00:00Z","event","WNBA FINALS - GAME 4",17,"FINAL",2160,"Mohegan Sun Arena","Uncasville","CT",10000,TRUE,0,"0.0",4,3,"STATUS_FINAL","post",TRUE,"Final","Final","Final",4,18,"s:40~l:59~t:18","Connecticut","Sun","CONN","Connecticut Sun","Sun","de6b36","002d62",TRUE,2160,"https://a.espncdn.com/i/teamlogos/wnba/500/conn.png",90,TRUE,16,"s:40~l:59~t:16","Washington","Mystics","WSH","Washington Mystics","Mystics",TRUE,86,FALSE,401165810,2019,3,"e03a3e","09295a",1823,"https://a.espncdn.com/i/teamlogos/wnba/500/wsh.png",NA,TRUE,"https://raw.githubusercontent.com/sportsdataverse/wehoop-wnba-raw/main/wnba/json/final/401165810.json",2019-10-08 20:00:00,2019-10-08,TRUE,TRUE,TRUE
"3",401165809,"s:40~l:59~e:401165809~c:401165809","2019-10-06T19:30Z",9170,TRUE,FALSE,FALSE,FALSE,"2019-10-06T19:30Z","event","WNBA FINALS - GAME 3",17,"FINAL",2160,"Mohegan Sun Arena","Uncasville","CT",10000,TRUE,0,"0.0",4,3,"STATUS_FINAL","post",TRUE,"Final","Final","Final",4,18,"s:40~l:59~t:18","Connecticut","Sun","CONN","Connecticut Sun","Sun","de6b36","002d62",TRUE,2160,"https://a.espncdn.com/i/teamlogos/wnba/500/conn.png",81,FALSE,16,"s:40~l:59~t:16","Washington","Mystics","WSH","Washington Mystics","Mystics",TRUE,94,TRUE,401165809,2019,3,"e03a3e","09295a",1823,"https://a.espncdn.com/i/teamlogos/wnba/500/wsh.png",NA,TRUE,"https://raw.githubusercontent.com/sportsdataverse/wehoop-wnba-raw/main/wnba/json/final/401165809.json",2019-10-06 15:30:00,2019-10-06,TRUE,TRUE,TRUE
"4",401165808,"s:40~l:59~e:401165808~c:401165808","2019-10-02T00:00Z",4200,TRUE,FALSE,FALSE,FALSE,"2019-10-02T00:00Z","event","WNBA FINALS - GAME 2",17,"FINAL",5946,"Entertainment & Sports Arena","Washington","DC",4200,TRUE,0,"0.0",4,3,"STATUS_FINAL","post",TRUE,"Final","Final","Final",4,16,"s:40~l:59~t:16","Washington","Mystics","WSH","Washington Mystics","Mystics","e03a3e","09295a",TRUE,1823,"https://a.espncdn.com/i/teamlogos/wnba/500/wsh.png",87,FALSE,18,"s:40~l:59~t:18","Connecticut","Sun","CONN","Connecticut Sun","Sun",TRUE,99,TRUE,401165808,2019,3,"de6b36","002d62",2160,"https://a.espncdn.com/i/teamlogos/wnba/500/conn.png",NA,TRUE,"https://raw.githubusercontent.com/sportsdataverse/wehoop-wnba-raw/main/wnba/json/final/401165808.json",2019-10-01 20:00:00,2019-10-01,TRUE,TRUE,TRUE
"5",401165807,"s:40~l:59~e:401165807~c:401165807","2019-09-29T19:00Z",4200,TRUE,FALSE,FALSE,FALSE,"2019-09-29T19:00Z","event","WNBA FINALS - GAME 1",17,"FINAL",5946,"Entertainment & Sports Arena","Washington","DC",4200,TRUE,0,"0.0",4,3,"STATUS_FINAL","post",TRUE,"Final","Final","Final",4,16,"s:40~l:59~t:16","Washington","Mystics","WSH","Washington Mystics","Mystics","e03a3e","09295a",TRUE,1823,"https://a.espncdn.com/i/teamlogos/wnba/500/wsh.png",95,TRUE,18,"s:40~l:59~t:18","Connecticut","Sun","CONN","Connecticut Sun","Sun",TRUE,86,FALSE,401165807,2019,3,"de6b36","002d62",2160,"https://a.espncdn.com/i/teamlogos/wnba/500/conn.png",NA,TRUE,"https://raw.githubusercontent.com/sportsdataverse/wehoop-wnba-raw/main/wnba/json/final/401165807.json",2019-09-29 15:00:00,2019-09-29,TRUE,TRUE,TRUE
"6",401165888,"s:40~l:59~e:401165888~c:401165888","2019-09-25T01:00Z",5465,TRUE,FALSE,FALSE,FALSE,"2019-09-25T01:00Z","event","WNBA SEMIFINALS 1 - GAME 4",16,"SEMI",4005,"Michelob ULTRA Arena","Las Vegas","NV",12000,TRUE,0,"0.0",4,3,"STATUS_FINAL","post",TRUE,"Final","Final","Final",4,17,"s:40~l:59~t:17","Las Vegas","Aces","LV","Las Vegas Aces","Aces","000000","c7cfd4",TRUE,780,"https://a.espncdn.com/i/teamlogos/wnba/500/lv.png",90,FALSE,16,"s:40~l:59~t:16","Washington","Mystics","WSH","Washington Mystics","Mystics",TRUE,94,TRUE,401165888,2019,3,"e03a3e","09295a",1823,"https://a.espncdn.com/i/teamlogos/wnba/500/wsh.png",NA,TRUE,"https://raw.githubusercontent.com/sportsdataverse/wehoop-wnba-raw/main/wnba/json/final/401165888.json",2019-09-24 21:00:00,2019-09-24,TRUE,TRUE,TRUE
"7",401165892,"s:40~l:59~e:401165892~c:401165892","2019-09-22T23:00Z",4000,TRUE,FALSE,FALSE,FALSE,"2019-09-22T23:00Z","event","WNBA SEMIFINALS 2 - GAME 3",16,"SEMI",539,"Walter Pyramid","Long Beach","CA",0,TRUE,0,"0.0",4,3,"STATUS_FINAL","post",TRUE,"Final","Final","Final",4,6,"s:40~l:59~t:6","Los Angeles","Sparks","LA","Los Angeles Sparks","Sparks","532481","49ac9c",TRUE,1841,"https://a.espncdn.com/i/teamlogos/wnba/500/la.png",56,FALSE,18,"s:40~l:59~t:18","Connecticut","Sun","CONN","Connecticut Sun","Sun",TRUE,78,TRUE,401165892,2019,3,"de6b36","002d62",2160,"https://a.espncdn.com/i/teamlogos/wnba/500/conn.png",NA,TRUE,"https://raw.githubusercontent.com/sportsdataverse/wehoop-wnba-raw/main/wnba/json/final/401165892.json",2019-09-22 19:00:00,2019-09-22,TRUE,TRUE,TRUE
"8",401165887,"s:40~l:59~e:401165887~c:401165887","2019-09-22T21:00Z",6175,TRUE,FALSE,FALSE,FALSE,"2019-09-22T21:00Z","event","WNBA SEMIFINALS 1 - GAME 3",16,"SEMI",4005,"Michelob ULTRA Arena","Las Vegas","NV",12000,TRUE,0,"0.0",4,3,"STATUS_FINAL","post",TRUE,"Final","Final","Final",4,17,"s:40~l:59~t:17","Las Vegas","Aces","LV","Las Vegas Aces","Aces","000000","c7cfd4",TRUE,780,"https://a.espncdn.com/i/teamlogos/wnba/500/lv.png",92,TRUE,16,"s:40~l:59~t:16","Washington","Mystics","WSH","Washington Mystics","Mystics",TRUE,75,FALSE,401165887,2019,3,"e03a3e","09295a",1823,"https://a.espncdn.com/i/teamlogos/wnba/500/wsh.png",NA,TRUE,"https://raw.githubusercontent.com/sportsdataverse/wehoop-wnba-raw/main/wnba/json/final/401165887.json",2019-09-22 17:00:00,2019-09-22,TRUE,TRUE,TRUE
"9",401165798,"s:40~l:59~e:401165798~c:401165798","2019-09-20T00:30Z",4200,TRUE,FALSE,FALSE,FALSE,"2019-09-20T00:30Z","event","WNBA SEMIFINALS 1 - GAME 2",16,"SEMI",5946,"Entertainment & Sports Arena","Washington","DC",4200,TRUE,0,"0.0",4,3,"STATUS_FINAL","post",TRUE,"Final","Final","Final",4,16,"s:40~l:59~t:16","Washington","Mystics","WSH","Washington Mystics","Mystics","e03a3e","09295a",TRUE,1823,"https://a.espncdn.com/i/teamlogos/wnba/500/wsh.png",103,TRUE,17,"s:40~l:59~t:17","Las Vegas","Aces","LV","Las Vegas Aces","Aces",TRUE,91,FALSE,401165798,2019,3,"000000","c7cfd4",780,"https://a.espncdn.com/i/teamlogos/wnba/500/lv.png",NA,TRUE,"https://raw.githubusercontent.com/sportsdataverse/wehoop-wnba-raw/main/wnba/json/final/401165798.json",2019-09-19 20:30:00,2019-09-19,TRUE,TRUE,TRUE
"10",401165803,"s:40~l:59~e:401165803~c:401165803","2019-09-19T22:30Z",8051,TRUE,FALSE,FALSE,FALSE,"2019-09-19T22:30Z","event","WNBA SEMIFINALS 2 - GAME 2",16,"SEMI",2160,"Mohegan Sun Arena","Uncasville","CT",10000,TRUE,0,"0.0",4,3,"STATUS_FINAL","post",TRUE,"Final","Final","Final",4,18,"s:40~l:59~t:18","Connecticut","Sun","CONN","Connecticut Sun","Sun","de6b36","002d62",TRUE,2160,"https://a.espncdn.com/i/teamlogos/wnba/500/conn.png",94,TRUE,6,"s:40~l:59~t:6","Los Angeles","Sparks","LA","Los Angeles Sparks","Sparks",TRUE,68,FALSE,401165803,2019,3,"532481","49ac9c",1841,"https://a.espncdn.com/i/teamlogos/wnba/500/la.png",NA,TRUE,"https://raw.githubusercontent.com/sportsdataverse/wehoop-wnba-raw/main/wnba/json/final/401165803.json",2019-09-19 18:30:00,2019-09-19,TRUE,TRUE,TRUE
