"","id","uid","date","attendance","time_valid","neutral_site","conference_competition","play_by_play_available","recent","start_date","notes_type","notes_headline","broadcast_market","broadcast_name","type_id","type_abbreviation","venue_id","venue_full_name","venue_address_city","venue_address_state","venue_capacity","venue_indoor","status_clock","status_display_clock","status_period","status_type_id","status_type_name","status_type_state","status_type_completed","status_type_description","status_type_detail","status_type_short_detail","format_regulation_periods","home_id","home_uid","home_location","home_name","home_abbreviation","home_display_name","home_short_display_name","home_color","home_alternate_color","home_is_active","home_venue_id","home_logo","home_score","home_winner","home_linescores","home_records","away_id","away_uid","away_location","away_name","away_abbreviation","away_display_name","away_short_display_name","away_color","away_alternate_color","away_is_active","away_venue_id","away_logo","away_score","away_winner","away_linescores","away_records","game_id","season","season_type","status_type_alt_detail","game_json","game_json_url","game_date_time","game_date","PBP","team_box","player_box"
"1",401578574,"s:40~l:59~e:401578574~c:401578574","2023-10-19T00:00Z",16851,TRUE,FALSE,FALSE,TRUE,FALSE,"2023-10-19T00:00Z","event","WNBA Finals - Game 4","national","ESPN",17,"FINAL",3559,"Barclays Center","Brooklyn","NY",17732,TRUE,0,"0.0",4,3,"STATUS_FINAL","post",TRUE,"Final","Final","Final",4,9,"s:40~l:59~t:9","New York","Liberty","NY","New York Liberty","Liberty","86cebc","000000",TRUE,1830,"https://a.espncdn.com/i/teamlogos/wnba/500/ny.png",69,FALSE,"[{'value': 23.0} {'value': 16.0} {'value': 12.0} {'value': 18.0}]","[{'abbreviation': 'Total', 'name': 'overall', 'summary': '32-8', 'type': 'total'}
 {'abbreviation': None, 'name': 'Home', 'summary': '15-5', 'type': 'home'}
 {'abbreviation': None, 'name': 'Road', 'summary': '17-3', 'type': 'road'}]",17,"s:40~l:59~t:17","Las Vegas","Aces","LV","Las Vegas Aces","Aces","ce1141","b4975a",TRUE,780,"https://a.espncdn.com/i/teamlogos/wnba/500/lv.png",70,TRUE,"[{'value': 13.0} {'value': 17.0} {'value': 23.0} {'value': 17.0}]","[{'abbreviation': 'Total', 'name': 'overall', 'summary': '34-6', 'type': 'total'}
 {'abbreviation': None, 'name': 'Home', 'summary': '19-1', 'type': 'home'}
 {'abbreviation': None, 'name': 'Road', 'summary': '15-5', 'type': 'road'}]",401578574,2023,3,NA,TRUE,"https://raw.githubusercontent.com/sportsdataverse/wehoop-wnba-raw/main/wnba/json/final/401578574.json",2023-10-18 20:00:00,2023-10-18,TRUE,TRUE,TRUE
"2",401578573,"s:40~l:59~e:401578573~c:401578573","2023-10-15T19:00Z",17143,TRUE,FALSE,FALSE,TRUE,FALSE,"2023-10-15T19:00Z","event","WNBA Finals - Game 3","national","ABC",17,"FINAL",3559,"Barclays Center","Brooklyn","NY",17732,TRUE,0,"0.0",4,3,"STATUS_FINAL","post",TRUE,"Final","Final","Final",4,9,"s:40~l:59~t:9","New York","Liberty","NY","New York Liberty","Liberty","86cebc","000000",TRUE,1830,"https://a.espncdn.com/i/teamlogos/wnba/500/ny.png",87,TRUE,"[{'value': 21.0} {'value': 22.0} {'value': 18.0} {'value': 26.0}]","[{'abbreviation': 'Total', 'name': 'overall', 'summary': '32-8', 'type': 'total'}
 {'abbreviation': None, 'name': 'Home', 'summary': '15-5', 'type': 'home'}
 {'abbreviation': None, 'name': 'Road', 'summary': '17-3', 'type': 'road'}]",17,"s:40~l:59~t:17","Las Vegas","Aces","LV","Las Vegas Aces","Aces","ce1141","b4975a",TRUE,780,"https://a.espncdn.com/i/teamlogos/wnba/500/lv.png",73,FALSE,"[{'value': 18.0} {'value': 22.0} {'value': 10.0} {'value': 23.0}]","[{'abbreviation': 'Total', 'name': 'overall', 'summary': '34-6', 'type': 'total'}
 {'abbreviation': None, 'name': 'Home', 'summary': '19-1', 'type': 'home'}
 {'abbreviation': None, 'name': 'Road', 'summary': '15-5', 'type': 'road'}]",401578573,2023,3,NA,TRUE,"https://raw.githubusercontent.com/sportsdataverse/wehoop-wnba-raw/main/wnba/json/final/401578573.json",2023-10-15 15:00:00,2023-10-15,TRUE,TRUE,TRUE
"3",401578572,"s:40~l:59~e:401578572~c:401578572","2023-10-12T01:00Z",10232,TRUE,FALSE,FALSE,TRUE,FALSE,"2023-10-12T01:00Z","event","WNBA Finals - Game 2","national","ESPN",17,"FINAL",4005,"Michelob ULTRA Arena","Las Vegas","NV",12000,TRUE,0,"0.0",4,3,"STATUS_FINAL","post",TRUE,"Final","Final","Final",4,17,"s:40~l:59~t:17","Las Vegas","Aces","LV","Las Vegas Aces","Aces","ce1141","b4975a",TRUE,780,"https://a.espncdn.com/i/teamlogos/wnba/500/lv.png",104,TRUE,"[{'value': 38.0} {'value': 14.0} {'value': 28.0} {'value': 24.0}]","[{'abbreviation': 'Total', 'name': 'overall', 'summary': '34-6', 'type': 'total'}
 {'abbreviation': None, 'name': 'Home', 'summary': '19-1', 'type': 'home'}
 {'abbreviation': None, 'name': 'Road', 'summary': '15-5', 'type': 'road'}]",9,"s:40~l:59~t:9","New York","Liberty","NY","New York Liberty","Liberty","86cebc","000000",TRUE,1830,"https://a.espncdn.com/i/teamlogos/wnba/500/ny.png",76,FALSE,"[{'value': 19.0} {'value': 25.0} {'value': 13.0} {'value': 19.0}]","[{'abbreviation': 'Total', 'name': 'overall', 'summary': '32-8', 'type': 'total'}
 {'abbreviation': None, 'name': 'Home', 'summary': '15-5', 'type': 'home'}
 {'abbreviation': None, 'name': 'Road', 'summary': '17-3', 'type': 'road'}]",401578572,2023,3,NA,TRUE,"https://raw.githubusercontent.com/sportsdataverse/wehoop-wnba-raw/main/wnba/json/final/401578572.json",2023-10-11 21:00:00,2023-10-11,TRUE,TRUE,TRUE
"4",401578571,"s:40~l:59~e:401578571~c:401578571","2023-10-08T19:00Z",10300,TRUE,FALSE,FALSE,TRUE,FALSE,"2023-10-08T19:00Z","event","WNBA Finals - Game 1","national","ABC",17,"FINAL",4005,"Michelob ULTRA Arena","Las Vegas","NV",12000,TRUE,0,"0.0",4,3,"STATUS_FINAL","post",TRUE,"Final","Final","Final",4,17,"s:40~l:59~t:17","Las Vegas","Aces","LV","Las Vegas Aces","Aces","ce1141","b4975a",TRUE,780,"https://a.espncdn.com/i/teamlogos/wnba/500/lv.png",99,TRUE,"[{'value': 22.0} {'value': 24.0} {'value': 26.0} {'value': 27.0}]","[{'abbreviation': 'Total', 'name': 'overall', 'summary': '34-6', 'type': 'total'}
 {'abbreviation': None, 'name': 'Home', 'summary': '19-1', 'type': 'home'}
 {'abbreviation': None, 'name': 'Road', 'summary': '15-5', 'type': 'road'}]",9,"s:40~l:59~t:9","New York","Liberty","NY","New York Liberty","Liberty","86cebc","000000",TRUE,1830,"https://a.espncdn.com/i/teamlogos/wnba/500/ny.png",82,FALSE,"[{'value': 25.0} {'value': 24.0} {'value': 16.0} {'value': 17.0}]","[{'abbreviation': 'Total', 'name': 'overall', 'summary': '32-8', 'type': 'total'}
 {'abbreviation': None, 'name': 'Home', 'summary': '15-5', 'type': 'home'}
 {'abbreviation': None, 'name': 'Road', 'summary': '17-3', 'type': 'road'}]",401578571,2023,3,NA,TRUE,"https://raw.githubusercontent.com/sportsdataverse/wehoop-wnba-raw/main/wnba/json/final/401578571.json",2023-10-08 15:00:00,2023-10-08,TRUE,TRUE,TRUE
"5",401578567,"s:40~l:59~e:401578567~c:401578567","2023-10-01T19:00Z",8196,TRUE,FALSE,FALSE,TRUE,FALSE,"2023-10-01T19:00Z","event","WNBA Semifinals - Game 4","national","ABC",16,"SEMI",2160,"Mohegan Sun Arena","Uncasville","CT",10000,TRUE,0,"0.0",4,3,"STATUS_FINAL","post",TRUE,"Final","Final","Final",4,18,"s:40~l:59~t:18","Connecticut","Sun","CONN","Connecticut Sun","Sun","f05023","0a2240",TRUE,2160,"https://a.espncdn.com/i/teamlogos/wnba/500/conn.png",84,FALSE,"[{'value': 23.0} {'value': 21.0} {'value': 14.0} {'value': 26.0}]","[{'abbreviation': 'Total', 'name': 'overall', 'summary': '27-13', 'type': 'total'}
 {'abbreviation': None, 'name': 'Home', 'summary': '13-7', 'type': 'home'}
 {'abbreviation': None, 'name': 'Road', 'summary': '14-6', 'type': 'road'}]",9,"s:40~l:59~t:9","New York","Liberty","NY","New York Liberty","Liberty","86cebc","000000",TRUE,1830,"https://a.espncdn.com/i/teamlogos/wnba/500/ny.png",87,TRUE,"[{'value': 19.0} {'value': 26.0} {'value': 21.0} {'value': 21.0}]","[{'abbreviation': 'Total', 'name': 'overall', 'summary': '32-8', 'type': 'total'}
 {'abbreviation': None, 'name': 'Home', 'summary': '15-5', 'type': 'home'}
 {'abbreviation': None, 'name': 'Road', 'summary': '17-3', 'type': 'road'}]",401578567,2023,3,NA,TRUE,"https://raw.githubusercontent.com/sportsdataverse/wehoop-wnba-raw/main/wnba/json/final/401578567.json",2023-10-01 15:00:00,2023-10-01,TRUE,TRUE,TRUE
"6",401578566,"s:40~l:59~e:401578566~c:401578566","2023-09-30T01:30Z",6251,TRUE,FALSE,FALSE,TRUE,FALSE,"2023-09-30T01:30Z","event","WNBA Semifinals - Game 3","national","ESPN2",16,"SEMI",3416,"College Park Center","Arlington","TX",0,TRUE,0,"0.0",4,3,"STATUS_FINAL","post",TRUE,"Final","Final","Final",4,3,"s:40~l:59~t:3","Dallas","Wings","DAL","Dallas Wings","Wings","002b5c","c4d600",TRUE,3416,"https://a.espncdn.com/i/teamlogos/wnba/500/dal.png",61,FALSE,"[{'value': 18.0} {'value': 18.0} {'value': 15.0} {'value': 10.0}]","[{'abbreviation': 'Total', 'name': 'overall', 'summary': '22-18', 'type': 'total'}
 {'abbreviation': None, 'name': 'Home', 'summary': '11-9', 'type': 'home'}
 {'abbreviation': None, 'name': 'Road', 'summary': '11-9', 'type': 'road'}]",17,"s:40~l:59~t:17","Las Vegas","Aces","LV","Las Vegas Aces","Aces","ce1141","b4975a",TRUE,780,"https://a.espncdn.com/i/teamlogos/wnba/500/lv.png",64,TRUE,"[{'value': 16.0} {'value': 15.0} {'value': 18.0} {'value': 15.0}]","[{'abbreviation': 'Total', 'name': 'overall', 'summary': '34-6', 'type': 'total'}
 {'abbreviation': None, 'name': 'Home', 'summary': '19-1', 'type': 'home'}
 {'abbreviation': None, 'name': 'Road', 'summary': '15-5', 'type': 'road'}]",401578566,2023,3,NA,TRUE,"https://raw.githubusercontent.com/sportsdataverse/wehoop-wnba-raw/main/wnba/json/final/401578566.json",2023-09-29 21:30:00,2023-09-29,TRUE,TRUE,TRUE
"7",401578565,"s:40~l:59~e:401578565~c:401578565","2023-09-29T23:30Z",9162,TRUE,FALSE,FALSE,TRUE,FALSE,"2023-09-29T23:30Z","event","WNBA Semifinals - Game 3","national","ESPN2",16,"SEMI",2160,"Mohegan Sun Arena","Uncasville","CT",10000,TRUE,0,"0.0",4,3,"STATUS_FINAL","post",TRUE,"Final","Final","Final",4,18,"s:40~l:59~t:18","Connecticut","Sun","CONN","Connecticut Sun","Sun","f05023","0a2240",TRUE,2160,"https://a.espncdn.com/i/teamlogos/wnba/500/conn.png",81,FALSE,"[{'value': 16.0} {'value': 24.0} {'value': 21.0} {'value': 20.0}]","[{'abbreviation': 'Total', 'name': 'overall', 'summary': '27-13', 'type': 'total'}
 {'abbreviation': None, 'name': 'Home', 'summary': '13-7', 'type': 'home'}
 {'abbreviation': None, 'name': 'Road', 'summary': '14-6', 'type': 'road'}]",9,"s:40~l:59~t:9","New York","Liberty","NY","New York Liberty","Liberty","86cebc","000000",TRUE,1830,"https://a.espncdn.com/i/teamlogos/wnba/500/ny.png",92,TRUE,"[{'value': 37.0} {'value': 17.0} {'value': 18.0} {'value': 20.0}]","[{'abbreviation': 'Total', 'name': 'overall', 'summary': '32-8', 'type': 'total'}
 {'abbreviation': None, 'name': 'Home', 'summary': '15-5', 'type': 'home'}
 {'abbreviation': None, 'name': 'Road', 'summary': '17-3', 'type': 'road'}]",401578565,2023,3,NA,TRUE,"https://raw.githubusercontent.com/sportsdataverse/wehoop-wnba-raw/main/wnba/json/final/401578565.json",2023-09-29 19:30:00,2023-09-29,TRUE,TRUE,TRUE
"8",401578564,"s:40~l:59~e:401578564~c:401578564","2023-09-27T02:00Z",9286,TRUE,FALSE,FALSE,TRUE,FALSE,"2023-09-27T02:00Z","event","WNBA Semifinals - Game 2","national","ESPN",16,"SEMI",4005,"Michelob ULTRA Arena","Las Vegas","NV",12000,TRUE,0,"0.0",4,3,"STATUS_FINAL","post",TRUE,"Final","Final","Final",4,17,"s:40~l:59~t:17","Las Vegas","Aces","LV","Las Vegas Aces","Aces","ce1141","b4975a",TRUE,780,"https://a.espncdn.com/i/teamlogos/wnba/500/lv.png",91,TRUE,"[{'value': 26.0} {'value': 18.0} {'value': 26.0} {'value': 21.0}]","[{'abbreviation': 'Total', 'name': 'overall', 'summary': '34-6', 'type': 'total'}
 {'abbreviation': None, 'name': 'Home', 'summary': '19-1', 'type': 'home'}
 {'abbreviation': None, 'name': 'Road', 'summary': '15-5', 'type': 'road'}]",3,"s:40~l:59~t:3","Dallas","Wings","DAL","Dallas Wings","Wings","002b5c","c4d600",TRUE,3416,"https://a.espncdn.com/i/teamlogos/wnba/500/dal.png",84,FALSE,"[{'value': 18.0} {'value': 19.0} {'value': 20.0} {'value': 27.0}]","[{'abbreviation': 'Total', 'name': 'overall', 'summary': '22-18', 'type': 'total'}
 {'abbreviation': None, 'name': 'Home', 'summary': '11-9', 'type': 'home'}
 {'abbreviation': None, 'name': 'Road', 'summary': '11-9', 'type': 'road'}]",401578564,2023,3,NA,TRUE,"https://raw.githubusercontent.com/sportsdataverse/wehoop-wnba-raw/main/wnba/json/final/401578564.json",2023-09-26 22:00:00,2023-09-26,TRUE,TRUE,TRUE
"9",401578563,"s:40~l:59~e:401578563~c:401578563","2023-09-27T00:00Z",10009,TRUE,FALSE,FALSE,TRUE,FALSE,"2023-09-27T00:00Z","event","WNBA Semifinals - Game 2","national","ESPN",16,"SEMI",3559,"Barclays Center","Brooklyn","NY",17732,TRUE,0,"0.0",4,3,"STATUS_FINAL","post",TRUE,"Final","Final","Final",4,9,"s:40~l:59~t:9","New York","Liberty","NY","New York Liberty","Liberty","86cebc","000000",TRUE,1830,"https://a.espncdn.com/i/teamlogos/wnba/500/ny.png",84,TRUE,"[{'value': 16.0} {'value': 22.0} {'value': 21.0} {'value': 25.0}]","[{'abbreviation': 'Total', 'name': 'overall', 'summary': '32-8', 'type': 'total'}
 {'abbreviation': None, 'name': 'Home', 'summary': '15-5', 'type': 'home'}
 {'abbreviation': None, 'name': 'Road', 'summary': '17-3', 'type': 'road'}]",18,"s:40~l:59~t:18","Connecticut","Sun","CONN","Connecticut Sun","Sun","f05023","0a2240",TRUE,2160,"https://a.espncdn.com/i/teamlogos/wnba/500/conn.png",77,FALSE,"[{'value': 22.0} {'value': 20.0} {'value': 15.0} {'value': 20.0}]","[{'abbreviation': 'Total', 'name': 'overall', 'summary': '27-13', 'type': 'total'}
 {'abbreviation': None, 'name': 'Home', 'summary': '13-7', 'type': 'home'}
 {'abbreviation': None, 'name': 'Road', 'summary': '14-6', 'type': 'road'}]",401578563,2023,3,NA,TRUE,"https://raw.githubusercontent.com/sportsdataverse/wehoop-wnba-raw/main/wnba/json/final/401578563.json",2023-09-26 20:00:00,2023-09-26,TRUE,TRUE,TRUE
"10",401578562,"s:40~l:59~e:401578562~c:401578562","2023-09-24T21:00Z",9784,TRUE,FALSE,FALSE,TRUE,FALSE,"2023-09-24T21:00Z","event","WNBA Semifinals - Game 1","national","ESPN2",16,"SEMI",4005,"Michelob ULTRA Arena","Las Vegas","NV",12000,TRUE,0,"0.0",4,3,"STATUS_FINAL","post",TRUE,"Final","Final","Final",4,17,"s:40~l:59~t:17","Las Vegas","Aces","LV","Las Vegas Aces","Aces","ce1141","b4975a",TRUE,780,"https://a.espncdn.com/i/teamlogos/wnba/500/lv.png",97,TRUE,"[{'value': 20.0} {'value': 29.0} {'value': 26.0} {'value': 22.0}]","[{'abbreviation': 'Total', 'name': 'overall', 'summary': '34-6', 'type': 'total'}
 {'abbreviation': None, 'name': 'Home', 'summary': '19-1', 'type': 'home'}
 {'abbreviation': None, 'name': 'Road', 'summary': '15-5', 'type': 'road'}]",3,"s:40~l:59~t:3","Dallas","Wings","DAL","Dallas Wings","Wings","002b5c","c4d600",TRUE,3416,"https://a.espncdn.com/i/teamlogos/wnba/500/dal.png",83,FALSE,"[{'value': 19.0} {'value': 26.0} {'value': 12.0} {'value': 26.0}]","[{'abbreviation': 'Total', 'name': 'overall', 'summary': '22-18', 'type': 'total'}
 {'abbreviation': None, 'name': 'Home', 'summary': '11-9', 'type': 'home'}
 {'abbreviation': None, 'name': 'Road', 'summary': '11-9', 'type': 'road'}]",401578562,2023,3,NA,TRUE,"https://raw.githubusercontent.com/sportsdataverse/wehoop-wnba-raw/main/wnba/json/final/401578562.json",2023-09-24 17:00:00,2023-09-24,TRUE,TRUE,TRUE
